# Mosofin Accounting Skills — deployment queue
# Generated from the converted pack. Ship order is top to bottom.
# Columns: wave  skill  auto%  gate
#   auto%  = computed share of [auto] vs [manual] verdicts (objective)
#   gate   = review item that must clear first; '-' = none. See docs/REVIEW-REQUIRED.md
# Consumed by the copy loop in docs/DEPLOYMENT-PLAN.md section 5.
#
#wave	skill	auto%	gate
1	journal-entry-builder	79	R1,R6
1	three-way-match	75	R1,R6
1	invoice-data-extractor	72	R1,R6
1	gl-coding-assistant	72	R1,R6
1	duplicate-invoice-detection	75	R1,R6
1	month-end-close-checklist	61	R1,R6
1	bank-reconciliation	62	R1,R6
1	ar-aging-and-collections	46	R1,R6
1	expense-report-processor	65	R1,R6
1	financial-statement-builder	50	R1,R6
2	closing-entries-and-trial-balance	69	-
2	balance-sheet-reconciliations	63	-
2	accruals-and-deferrals	56	-
2	ap-accrual-cutoff	67	-
2	prepaid-amortization-schedule	70	-
2	ap-aging-and-payment-runs	62	-
2	cash-application	63	-
2	credit-card-reconciliation	59	-
2	vendor-statement-reconciliation	59	-
2	customer-invoicing	66	-
2	credit-memo-and-refund-handler	69	-
2	journal-entry-review	67	-
2	recurring-transaction-builder	64	-
2	payroll-journal-entry-builder	72	-
2	payroll-reconciliation	61	-
2	payroll-clearing-reconciliation	71	-
2	budget-vs-actual-analysis	69	-
2	cash-flow-forecast-13-week	58	-
2	fixed-asset-register-and-depreciation	57	-
2	inventory-to-gl-reconciliation	59	-
2	bad-debt-and-write-offs	56	-
2	working-capital-optimization	61	-
2	kpi-dashboard-builder	60	-
2	ar-cash-application-lockbox	64	-
3	revenue-recognition-asc606	53	-
3	lease-accounting-asc842-ifrs16	55	-
3	intangibles-and-amortization	59	-
3	multicurrency-fx-revaluation	60	-
3	foreign-currency-translation-asc830	50	-
3	consolidation-and-eliminations	50	-
3	intercompany-reconciliation	68	-
3	quarter-end-close	53	-
3	year-end-close	51	-
3	cash-flow-statement-indirect-method	63	-
3	statement-of-equity-changes	58	-
3	notes-to-financial-statements	51	-
3	chart-of-accounts-designer	68	-
3	rolling-forecast	59	-
3	budget-builder	51	-
3	three-statement-financial-model	62	-
3	model-builder-integrated-three-statement	61	-
3	scenario-and-sensitivity-analysis	51	-
3	inventory-costing-fifo-lifo-wavg	52	-
3	inventory-obsolescence-and-reserve	67	-
3	standard-costing-and-variance-analysis	66	-
3	cost-accounting-job-order	65	-
3	cost-accounting-process-costing	54	-
3	fraud-detection-and-forensics	56	-
3	sox-controls-design-and-testing	46	-
3	internal-audit-workpaper	41	-
3	audit-prep-pbc-list	47	-
3	debt-and-covenant-tracking	47	-
3	cash-management-and-treasury	51	-
3	bank-fee-and-interest-analysis	63	-
3	credit-limit-and-customer-risk	53	-
3	customer-credit-and-collections-policy	67	-
4a	ap-invoice-processing-and-3way-match	52	-
4a	benefits-and-401k-accounting	51	-
4a	cohort-and-unit-economics	66	-
4a	construction-percentage-of-completion	48	-
4a	crypto-and-digital-asset-accounting	54	-
4a	derivatives-and-hedging-asc815	47	-
4a	equity-compensation-accounting	41	-
4a	esg-sustainability-reporting	39	-
4a	gaap-vs-ifrs-conversion	56	-
4a	government-fund-accounting-gasb	46	-
4a	grant-accounting-nonprofit-restricted-funds	56	-
4a	healthcare-revenue-cycle-accounting	61	-
4a	insurance-accounting-overview	51	-
4a	merchant-and-payment-processor-rec	64	-
4a	nonprofit-fund-accounting	51	-
4a	pensions-and-postretirement-asc715	55	-
4a	petty-cash-management	57	-
4a	real-estate-and-property-accounting	56	-
4b	sec-10q-10k-prep	37	-
4b	xbrl-tagging-checklist	39	-
4b	segment-reporting	60	-
4b	management-discussion-and-analysis	60	-
4b	restatement-and-prior-period-adjustment	50	-
4b	subsequent-events-asc855	44	-
4b	related-party-disclosures-asc850	43	-
4b	contingencies-and-litigation-asc450	55	-
4c	tax-planning-and-projections	51	R2
4c	tax-return-prep-corporate	50	R2
4c	personal-tax-return-prep	37	R2
4c	corporate-tax-provision-asc740	54	R2
4c	income-tax-deferred-tax-rollforward	54	R2
4c	r-and-d-tax-credit	50	R2
4c	sales-tax-us-multistate	50	R2
4c	vat-gst-international	50	R2
4c	transfer-pricing-documentation	50	R2
4c	payroll-tax-filings	57	R2
4c	1099-and-t4a-prep	58	R2
4d	business-valuation	40	R2
4d	valuation-agent-dcf-comps-football-field	49	R2
4d	model-auditor-financial-model-review	44	R2
4d	due-diligence-quality-of-earnings	64	R2
4d	business-combinations-asc805	44	R2
4d	goodwill-and-impairment-testing	54	R2
4d	ipo-readiness-accounting	41	R2
4e	quickbooks-ar-aging-collections	64	R3
4f	vendor-onboarding-and-w9-tin	56	R4
4f	restructuring-and-severance-asc420	38	R4
4f	aml-kyc-procedures	48	R4
